\Network,true,0,1719295281
\Network\Network Diagram.pdf,false,16024,1724328081
\Network\Router Configuration.xml,false,40337,1724659281
\Network\Switch Configuration.doc,false,13608,1721764881
\Server,true,0,1723795281
\Server\Server Inventory.xlsx,false,10981,1716814881
\Server\Server Configurations.doc,false,8812,1716966081
\Server\Server Manual.pdf,false,49913,1721581281
\Server\Server Room Access Log.pdf,false,4950,1712840481
\Firewall,true,0,1721152881
\Firewall\Firewall Configuration.doc,false,36339,1735948881
\Firewall\Firewall Rules.pdf,false,42082,1741017681
\Firewall\Firewall Logs.xlsx,false,26647,1720537281
\VPN,true,0,1725868881
\VPN\VPN Configuration.doc,false,17996,1721808081
\VPN\VPN Access Logs.pdf,false,6451,1728219681
\VPN\VPN User List.xlsx,false,50905,1733036481
\Wireless Network,true,0,1723644081
\Wireless Network\Wireless Network Configuration.doc,false,30036,1727136081
\Wireless Network\Wireless Network Access Log.pdf,false,9827,1715594481
\Wireless Network\Wireless Network Security.pdf,false,40843,1707537681
\CCTV,true,0,1735495281
\CCTV\CCTV Configuration.doc,false,2256,1729375281
\CCTV\CCTV Footage Backup.xlsx,false,48514,1712962881
\CCTV\CCTV Incident Report.pdf,false,33504,1728651681
\Access Control,true,0,1715187681
\Access Control\Access Control Configuration.doc,false,12731,1711728081
\Access Control\Access Control Audit Log.xlsx,false,9111,1740924081
\Access Control\Access Control Policy.pdf,false,42884,1726113681
\Incident Response,true,0,1725580881
\Incident Response\Incident Response Plan.doc,false,35757,1715486481
\Incident Response\Incident Report Form.doc,false,1674,1712120481
\Incident Response\Incident Investigation Report.pdf,false,49056,1729720881
\Incident Response\Incident Response Team Contact List.xlsx,false,48550,1707861681
\Antivirus,true,0,1726747281
\Antivirus\Antivirus Configuration.doc,false,1077,1713470481
\Antivirus\Antivirus Reports.pdf,false,24625,1729897281
\Antivirus\Antivirus User Manual.doc,false,47253,1714039281
\Security Policies,true,0,1715392881
\Security Policies\IT Security Policy.pdf,false,50599,1710291681
\Security Policies\Password Policy.doc,false,11156,1733522481
\Security Policies\Information Security Awareness Training.pptx,false,3678,1741438881
\Disaster Recovery,true,0,1723456881
\Disaster Recovery\Disaster Recovery Plan.doc,false,3152,1710230481
\Disaster Recovery\Disaster Recovery Test Results.xlsx,false,3858,1734901281
\Disaster Recovery\Backup Details.doc,false,20984,1738965681
\Disaster Recovery\Recovery Procedures.pdf,false,19609,1737208881
\IT Infrastructure,true,0,1738774881
\IT Infrastructure\IT Infrastructure Diagram.pdf,false,41737,1710630081
\IT Infrastructure\IT Asset Register.xlsx,false,42241,1729152081
\IT Infrastructure\IT Maintenance Schedule.xlsx,false,8280,1728932481
\User Management,true,0,1735196481
\User Management\User Access Management.doc,false,37693,1725382881
\User Management\User Account Request Form.doc,false,8724,1711414881
\User Management\User Account Suspension Notification.pdf,false,1488,1723435281
\User Management\User Account Termination Notification.pdf,false,25240,1723302081
\Vulnerability Management,true,0,1709290881
\Vulnerability Management\Vulnerability Assessment Report.doc,false,18695,1722790881
\Vulnerability Management\Vulnerability Scan Results.xlsx,false,6852,1727776881
\Vulnerability Management\Vulnerability Remediation Procedure.pdf,false,12530,1737428481
\Training and Education,true,0,1705831281
\Training and Education\IT Security Training Schedule.xlsx,false,44372,1733547681
\Training and Education\IT Security Training Material.pdf,false,30722,1722445281
\Training and Education\IT Security Quiz.doc,false,8192,1726207281
